HEADER VAR,NAME,LEVEL,TYPE,WIDTH,LABELS,ANSWER,COLUMNS,ROWS,CHAPTER,SORT,TEXT_LABELS,TEXT_COLUMNS,TEXT_ROWS
VAR,RECORD,LEVEL_A,CONT,1,,,,,_FOLDERS,,,,
VAR,UUID,LEVEL_A,LITERAL,1,,,,,_FOLDERS,,,,
VAR,CIBLE,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,SOURCE_BASE_R1,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,POIDS03,LEVEL_A,CONT,1,,,,,CHAP04,,,,
VAR,INTER,LEVEL_A,CONT,1,,,,,_FOLDERS,,,,
VAR,CONTACT,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,RS1_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,RS2C_RECODE_AG_R,LEVEL_A,DISC,1,7.0,,,,,,,,
VAR,RS3_R,LEVEL_A,DISC,1,8.0,,,,,,,,
VAR,RS4_R,LEVEL_A,DISC,1,7.0,,,,,,,,
VAR,CSPIND_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,RS5_R,LEVEL_A,DISC,1,9.0,,,,,,,,
VAR,UDA9_R,LEVEL_A,DISC,1,10.0,,,,,,,,
VAR,UDA5_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,DPT_DOM_R,LEVEL_A,DISC,1,12.0,,,,,,,,
VAR,CC_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,RS7_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,RS14_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,ILLECTRO_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,RS15_R,LEVEL_A,DISC,1,7.0,,,,,,,,
VAR,FREQ_INTERNET_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,RS16_R,LEVEL_A,DISC,1,3.0,,12.0,,,,,,
VAR,RS16_R1,LEVEL_A,MULT,1,13.0,13.0,,,,DESCENDANT,L_RS16_R1,,
VAR,RS16_R2,LEVEL_A,MULT,1,13.0,13.0,,,,DESCENDANT,L_RS16_R1,,
VAR,RS16_R3,LEVEL_A,MULT,1,13.0,13.0,,,,DESCENDANT,L_RS16_R1,,
VAR,INT1_R,LEVEL_A,DISC,1,4.0,,,,,,L_INT1_R,,
VAR,INT2_R,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT1_R,C_INT2_R,
VAR,INT2_R1,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R2,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R3,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R4,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R5,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R6,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,VERSION_QUESTIO_R,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,INT3_R,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R1,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R2,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R3,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R4,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R5,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R7,LEVEL_A,CONT,1,,,,,CHAP01,,,,
VAR,INT3_R6,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,MOTIV_R,LEVEL_A,DISC,1,4.0,,14.0,,,,,,
VAR,MOTIV_R1,LEVEL_A,DISC,1,15.0,,,,,DESCENDANT,L_MOTIV_R1,,
VAR,MOTIV_R2,LEVEL_A,MULT,1,15.0,15.0,,,,DESCENDANT,L_MOTIV_R1,,
VAR,NEWS1_R,LEVEL_A,DISC,1,6.0,,8.0,,,,,,
VAR,NEWS1_R1,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,,,
VAR,NEWS1_R2,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,,,
VAR,NEWS1_1B_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,NEWS1_2B_R,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,NEWS1_3B_R,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,NEWS1SOURCES_LR6_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
VAR,NEWS1SOURCES_LR7_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
VAR,NEWS1SOURCES_LR8_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
VAR,NEWS1SOURCES_LR9_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
VAR,NEWS1SOURCES_R,LEVEL_A,MULT,1,5.0,5.0,,,,,L_NEWS1SOURCES_R,,
VAR,NBR_NEWS1SOURCES_R1,LEVEL_A,ORDI,1,5.0,,,,,,L_NBR_NEWS1SOURCES_R1,,
VAR,NEWS1SOURCES_R2,LEVEL_A,MULT,1,5.0,5.0,,,,,L_NEWS1SOURCES_R,,
VAR,NBR_NEWS1SOURCES_R3,LEVEL_A,ORDI,1,5.0,,,,,,L_NBR_NEWS1SOURCES_R1,,
VAR,NEWS1BIS_R,LEVEL_A,DISC,1,9.0,,,,,DESCENDANT,,,
VAR,DEVICEXMOMENTS_R,LEVEL_A,MULT,1,8.0,8.0,,,,,,,
VAR,DEVICEXMOMENTS_R1,LEVEL_A,MULT,1,8.0,8.0,7.0,,,,,,
VAR,FORMAT_R,LEVEL_A,MULT,1,4.0,4.0,,,,,,,
VAR,FORMAT3_LR1_FORMAT3_1_R,LEVEL_A,DISC,1,3.0,,,,,,L_FORMAT3_LR1_FORMAT3_1_R,,
VAR,FORMAT2_LR1_FORMAT2_1_R,LEVEL_A,DISC,1,2.0,,,,,,L_FORMAT2_LR1_FORMAT2_1_R,,
VAR,FORMAT3_LR2_FORMAT3_2_R,LEVEL_A,DISC,1,3.0,,,,,,L_FORMAT3_LR1_FORMAT3_1_R,,
VAR,FORMAT3_LR3_FORMAT3_3_R,LEVEL_A,DISC,1,3.0,,,,,,L_FORMAT3_LR1_FORMAT3_1_R,,
VAR,FORMAT2_LR3_FORMAT2_3_R,LEVEL_A,DISC,1,2.0,,,,,,L_FORMAT2_LR1_FORMAT2_1_R,,
VAR,PAY_R,LEVEL_A,DISC,1,2.0,,7.0,,,,L_PAY_R,,
VAR,PAY_R1,LEVEL_A,MULT,1,8.0,8.0,,,,,,,
VAR,AGREG_R,LEVEL_A,DISC,1,3.0,,8.0,,,,,,
VAR,AGREG_R1,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_AGREG_R1,,
VAR,AGREG_R2,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_AGREG_R1,,
VAR,AGREG_R3,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_AGREG_R1,,
VAR,NOTIF_R,LEVEL_A,DISC,1,2.0,,,,,,L_PAY_R,,
VAR,RSINFO_1_LR_R,LEVEL_A,MULT,1,14.0,14.0,,,,DESCENDANT,L_RSINFO_1_LR_R,,
VAR,RSINFO_2_LR_R,LEVEL_A,DISC,1,2.0,,13.0,,,DESCENDANT,L_PAY_R,C_RSINFO_2_LR_R,
VAR,RSINFO_2_LR_R2,LEVEL_A,MULT,1,14.0,14.0,,,,DESCENDANT,L_RSINFO_1_LR_R,,
VAR,RSINFO_2_LR_R3,LEVEL_A,DISC,1,2.0,,13.0,,,DESCENDANT,L_PAY_R,C_RSINFO_2_LR_R,
VAR,RSINFO_2_LR_R4,LEVEL_A,MULT,1,15.0,15.0,,,,DESCENDANT,,,
VAR,MOTIVRS_R,LEVEL_A,MULT,1,12.0,12.0,,,,DESCENDANT,,,
VAR,ENGAR_R,LEVEL_A,DISC,1,3.0,,4.0,,,,,,
VAR,ENGAR_R2,LEVEL_A,MULT,1,4.0,4.0,,,,,L_ENGAR_R2,,
VAR,ENGAR_R3,LEVEL_A,MULT,1,4.0,4.0,,,,,L_ENGAR_R2,,
VAR,ENGAR_R4,LEVEL_A,MULT,1,4.0,4.0,,,,,L_ENGAR_R2,,
VAR,SOURCES1AR_B1_R,LEVEL_A,MULT,1,15.0,15.0,,,,DESCENDANT,,,
VAR,SOURCES1A_DOMR_R,LEVEL_A,MULT,1,14.0,14.0,,,,DESCENDANT,,,
VAR,SOURCES1BR_B2_R,LEVEL_A,MULT,1,17.0,17.0,,,,DESCENDANT,,,
VAR,SOURCES1CR_B3_R,LEVEL_A,MULT,1,17.0,17.0,,,,DESCENDANT,,,
VAR,SOURCES1DR_B4_R,LEVEL_A,MULT,1,13.0,13.0,,,,NONE,,,
VAR,SOURCES1ER_B4_R,LEVEL_A,MULT,1,9.0,9.0,,,,NONE,,,
VAR,SOURCES1FR_R,LEVEL_A,MULT,1,14.0,14.0,,,,DESCENDANT,,,
VAR,TV2AR_R,LEVEL_A,MULT,1,11.0,11.0,,,,DESCENDANT,,,
VAR,TV2BR_R,LEVEL_A,MULT,1,14.0,14.0,,,,DESCENDANT,,,
VAR,TV2CR_R,LEVEL_A,MULT,1,11.0,11.0,,,,DESCENDANT,,,
VAR,INF1_R,LEVEL_A,ORDI,1,6.0,,4.0,,,,L_INF1_R,,
VAR,DYN1_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,DYN2_R,LEVEL_A,MULT,1,10.0,10.0,,,,DESCENDANT,,,
VAR,DYN3_R,LEVEL_A,MULT,1,8.0,8.0,,,,DESCENDANT,,,
VAR,EVITE1_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,EVITE2_R,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,,,
VAR,CONF1_R,LEVEL_A,DISC,1,5.0,,,,,,,,
VAR,INF3_R,LEVEL_A,DISC,1,4.0,,9.0,,,,L_INF3_R,,
VAR,INF3_R1,LEVEL_A,MULT,1,10.0,10.0,,,,DESCENDANT,,,
VAR,ATTSOURCES_R,LEVEL_A,DISC,1,4.0,,7.0,,,,,,
VAR,ATTSOURCES_R1,LEVEL_A,MULT,1,8.0,8.0,,,,DESCENDANT,,,
VAR,INFOFIABLEDEF_R,LEVEL_A,MULT,1,14.0,14.0,,,,,,,
VAR,INFOFIABLE_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,OP2_R,LEVEL_A,DISC,1,4.0,,4.0,,,,,,
VAR,OP2_R1,LEVEL_A,DISC,1,5.0,,,,,DESCENDANT,L_OP2_R1,,
VAR,OP2_R2,LEVEL_A,MULT,1,5.0,5.0,,,,DESCENDANT,L_OP2_R1,,
VAR,COMPLOT1_R,LEVEL_A,DISC,1,2.0,,8.0,,,,L_PAY_R,C_COMPLOT1_R,
VAR,COMPLOT1_R1,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_COMPLOT1_R1,,
VAR,COMPLOT2_R,LEVEL_A,DISC,1,2.0,,8.0,,,,L_PAY_R,C_COMPLOT1_R,
VAR,COMPLOT2_R1,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_COMPLOT1_R1,,
VAR,COMPLOT2_R2,LEVEL_A,DISC,1,1.0,,,,,NONE,,,
VAR,VALEURJ_R,LEVEL_A,ORDI,1,6.0,,5.0,,,,L_INF1_R,,
VAR,ATTENTESJ_R,LEVEL_A,DISC,1,3.0,,9.0,,,,L_ATTENTESJ_R,,
VAR,ATTENTESJ_R1,LEVEL_A,MULT,1,10.0,10.0,,,,DESCENDANT,L_ATTENTESJ_R1,,
VAR,ATTENTESJ_R2,LEVEL_A,MULT,1,10.0,10.0,,,,DESCENDANT,L_ATTENTESJ_R1,,
VAR,ATTENTESJ_R3,LEVEL_A,MULT,1,10.0,10.0,,,,DESCENDANT,L_ATTENTESJ_R1,,
VAR,ATTENTESJ_R4,LEVEL_A,MULT,1,10.0,10.0,,,,DESCENDANT,L_ATTENTESJ_R1,,
VAR,DOUTE_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,DEFIANCEJ_R,LEVEL_A,DISC,1,4.0,,10.0,,,,,,
VAR,DEFIANCEJ_R1,LEVEL_A,MULT,1,11.0,11.0,,,,DESCENDANT,L_DEFIANCEJ_R1,,
VAR,DEFIANCEJ_R2,LEVEL_A,DISC,1,11.0,,,,,DESCENDANT,L_DEFIANCEJ_R1,,
VAR,CONNAISSALGOA_R,LEVEL_A,DISC,1,2.0,,6.0,,,,,C_CONNAISSALGOA_R,
VAR,CONNAISSALGOA_R1,LEVEL_A,MULT,1,7.0,7.0,,,,DESCENDANT,L_CONNAISSALGOA_R1,,
VAR,CONNAISSALGOA_R2,LEVEL_A,MULT,1,7.0,7.0,,,,DESCENDANT,L_CONNAISSALGOA_R1,,
VAR,CONNAISSALGOB_R,LEVEL_A,DISC,1,3.0,,6.0,,,,,C_CONNAISSALGOA_R,
VAR,CONNAISSALGOB_R1,LEVEL_A,MULT,1,7.0,7.0,,,,DESCENDANT,L_CONNAISSALGOA_R1,,
VAR,CONNAISSALGOB_R2,LEVEL_A,MULT,1,7.0,7.0,,,,DESCENDANT,L_CONNAISSALGOA_R1,,
VAR,CRAINTESALGOIA_R,LEVEL_A,MULT,1,8.0,8.0,,,,,,,
VAR,SELECT_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,IA1_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,OPTI_R,LEVEL_A,DISC,1,4.0,,6.0,,,,,,
VAR,OPTI_R1,LEVEL_A,MULT,1,7.0,7.0,,,,DESCENDANT,L_OPTI_R1,,
VAR,OPTI_R2,LEVEL_A,MULT,1,7.0,7.0,,,,DESCENDANT,L_OPTI_R1,,
VAR,ATTA_R,LEVEL_A,DISC,1,4.0,,8.0,,,,,,
VAR,ATTA_R1,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_ATTA_R1,,
VAR,ATTA_R2,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_ATTA_R1,,
VAR,DEM_R,LEVEL_A,DISC,1,4.0,,4.0,,,,,,
VAR,DEM_R1,LEVEL_A,MULT,1,5.0,5.0,,,,DESCENDANT,L_DEM_R1,,
VAR,DEM_R2,LEVEL_A,MULT,1,5.0,5.0,,,,DESCENDANT,L_DEM_R1,,
VAR,CONFINST_R,LEVEL_A,DISC,1,4.0,,10.0,,,,L_INF3_R,,
VAR,CONFINST_R1,LEVEL_A,MULT,1,11.0,11.0,,,,DESCENDANT,L_CONFINST_R1,,
VAR,CONFINST_R2,LEVEL_A,MULT,1,11.0,11.0,,,,DESCENDANT,L_CONFINST_R1,,
VAR,PERS_R,LEVEL_A,DISC,1,2.0,,6.0,,,,L_PAY_R,,
VAR,PERS_R1,LEVEL_A,MULT,1,7.0,7.0,,,,DESCENDANT,,,
VAR,INFLUENCE_R,LEVEL_A,DISC,1,5.0,,,,,,,,
VAR,VA1_R,LEVEL_A,DISC,1,5.0,,8.0,,,,,,
VAR,VA1_R1,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_VA1_R1,,
VAR,VA1_R2,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,L_VA1_R1,,
VAR,NOU1_R,LEVEL_A,ORDI,1,11.0,,,,,,,,
VAR,PP3_R,LEVEL_A,DISC,1,17.0,,,,,,,,
VAR,QUIZZ1_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,QUIZZ2_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,QUIZZ3_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,QUIZZ4_R,LEVEL_A,DISC,1,4.0,,,,,,,,
